formal_label,spec_id,role,term,coef,se,pvalue,or,n,coef_display
H2,h2_m1_period,main,t2,0.6507295138349334,0.0954948997095184,9.473338169678619e-12,1.9169387523902663,5846,0.651*** (0.095)
H2,h2_m2_composition,composition_adjustment,t2,0.3813344160283409,0.1161022562001398,0.0010217425465301,1.4642371879279812,5804,0.381** (0.116)
