model_id,module,spec_id,term,notes,n,coef,se,pvalue,formal_label,legacy_model_id,built_at
h1_engagement_indirect,H1,main,indirect_clean,,10806,0.1322504696495472,0.0293953181788499,6.826366440515378e-06,H1,,2026-07-17T06:11:50.225641+00:00
h1_engagement_indirect,H1,main,t2,control term,10806,-0.1813758207227322,0.0230030960953979,3.1492907755384293e-15,H1,,2026-07-17T06:11:50.225641+00:00
h2_indirect_period,H2,h2_m1_period,t2,,5846,0.6507295138349334,0.0954948997095184,9.473338169678619e-12,H2,h2b_indirect_reactivation,2026-07-17T06:11:50.225641+00:00
d1_indirect_peripheral,D1,d1_m1_total_association,peripheral,,17067,0.7940392197505444,0.082033770687156,3.688066953548333e-22,D1,e1b_indirect_peripheral,2026-07-17T06:11:50.225641+00:00
d1_indirect_peripheral,D1,d1_m1_total_association,t2,control term,17067,0.5064862184073339,0.0707362797350086,8.055688163892168e-13,D1,e1b_indirect_peripheral,2026-07-17T06:11:50.225641+00:00
