formal_label,model_id,spec_id,spec_label_zh,term,n,coef,se,pvalue,p_fmt,stars,coef_display,or_display,pct_display,notes,is_focal,built_at
D2,e2_entropy_increment,k12_tau005,"稳健性：K=12, τ=0.05",entropy_norm,10806,0.139598039479195,0.087384156233092,0.1101495826306372,0.110,,0.140 (0.087),,,E2 entropy K=12 tau=0.05,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau005,"稳健性：K=12, τ=0.05",indirect_clean,10806,0.1278119515928114,0.0293730829392478,1.3531474836388606e-05,<0.001,***,0.128*** (0.029),,,E2 entropy K=12 tau=0.05,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau010,"稳健性：K=12, τ=0.10",entropy_norm,10806,0.195280227172299,0.2567521945756568,0.4469088000183042,0.447,,0.195 (0.257),,,E2 entropy K=12 tau=0.1,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau010,"稳健性：K=12, τ=0.10",indirect_clean,10806,0.1282433169123733,0.0293641051780427,1.2576326337325424e-05,<0.001,***,0.128*** (0.029),,,E2 entropy K=12 tau=0.1,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau020,"稳健性：K=12, τ=0.20",entropy_norm,10806,-0.2230072378464336,1.1266947247466057,0.8430994492666832,0.843,,-0.223 (1.127),,,E2 entropy K=12 tau=0.2,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau020,"稳健性：K=12, τ=0.20",indirect_clean,10806,0.1287099618424963,0.0293639464047314,1.1691369332134304e-05,<0.001,***,0.129*** (0.029),,,E2 entropy K=12 tau=0.2,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau005,"稳健性：K=8, τ=0.05",entropy_norm,10806,0.0507453611772753,0.0880557878587852,0.5644215509625643,0.564,,0.051 (0.088),,,E2 entropy K=8 tau=0.05,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau005,"稳健性：K=8, τ=0.05",indirect_clean,10806,0.1382489172774257,0.0291149925089405,2.05057049815374e-06,<0.001,***,0.138*** (0.029),,,E2 entropy K=8 tau=0.05,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau010,"稳健性：K=8, τ=0.10",entropy_norm,10806,-0.0200062349475222,0.2485603992983189,0.935848802228565,0.936,,-0.020 (0.249),,,E2 entropy K=8 tau=0.1,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau010,"稳健性：K=8, τ=0.10",indirect_clean,10806,0.1385664235837128,0.0291109755068673,1.9365293046583115e-06,<0.001,***,0.139*** (0.029),,,E2 entropy K=8 tau=0.1,True,2026-07-05T11:16:20.452748+00:00
