model_id,module,spec_id,term,notes,n,coef,se,pvalue,built_at,formal_label
e2_entropy_increment,D2,k8_tau005,t2,E2 entropy K=8 tau=0.05; control term,10806,-0.1686148058936988,0.0226531100697006,9.817080372299912e-14,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,k8_tau010,entropy_norm,E2 entropy K=8 tau=0.1,10806,-0.0200062349475222,0.2485603992983189,0.935848802228565,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,k8_tau010,indirect_clean,E2 entropy K=8 tau=0.1,10806,0.1385664235837128,0.0291109755068673,1.9365293046583115e-06,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,k8_tau010,t2,E2 entropy K=8 tau=0.1; control term,10806,-0.1700233773547554,0.0226756231616488,6.476502013376351e-14,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,k8_tau020,entropy_norm,E2 entropy K=8 tau=0.2,10806,-0.3041270906315794,0.9668368224363164,0.753096617939311,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,k8_tau020,indirect_clean,E2 entropy K=8 tau=0.2,10806,0.1386241270429273,0.0291170962208061,1.927137029460725e-06,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,k8_tau020,t2,E2 entropy K=8 tau=0.2; control term,10806,-0.1705451117695849,0.0226739956848764,5.4102873241147406e-14,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,robust_no_review,entropy_norm,filter robust_no_review==True,10657,-0.1178999570202828,0.252994887935776,0.6412032237408889,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,robust_no_review,indirect_clean,filter robust_no_review==True,10657,0.132029724320559,0.0294352211197868,7.276586907268222e-06,2026-07-05T11:16:16.112431+00:00,D2
e2_entropy_increment,D2,robust_no_review,t2,filter robust_no_review==True; control term,10657,-0.1855137469515345,0.0230395635756931,8.147557256460989e-16,2026-07-05T11:16:16.112431+00:00,D2
e1b_indirect_peripheral,D3,high_clarity,peripheral,filter high_clarity==True,16919,1.1989305794004823,1.0415033771286617,0.2496689643868729,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,high_clarity,t2,filter high_clarity==True; control term,16919,0.6400647633711063,0.0605659030916151,4.190247675831426e-26,2026-07-05T11:16:16.112431+00:00,D3
